Assuming rdf:type as type relation
Loading files... 
  Starting processed_triples1.txt
  Finished processed_triples1.txt, still running: 0
Loaded 8730 facts in 97 ms using -32 MB
Using Support as pruning metric with minimum threshold 1.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 64 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  activeYearsEndYear  ?b   => ?a  spouse  ?b	0.012345679	0.090909091	0.25	1	11	4	?b
?b  spouse  ?a   => ?a  spouse  ?b	0.320987654	0.320987654	0.481481481	26	81	54	?b
?a  depiction  ?b   => ?a  imageFlag  ?b	1	0.001492537	0.125	1	670	8	?a
?b  commonName  ?a   => ?a  commonName  ?b	1	1	1	5	5	5	?a
?b  primaryTopic  ?a   => ?a  commonName  ?b	0.2	0.014084507	1	1	71	1	?a
?b  capital  ?a   => ?a  commonName  ?b	0.2	0.2	1	1	5	1	?a
?b  conventionalLongName  ?a   => ?a  commonName  ?b	0.2	1	1	1	1	1	?a
?a  headquarters  ?b   => ?a  headquarter  ?b	1	0.666666667	1	4	6	4	?b
?a  primaryTopic  ?b   => ?a  commonName  ?b	0.2	0.014084507	1	1	71	1	?a
?b  rdm  ?a   => ?a  nationalteam  ?b	0.0625	1	1	1	1	1	?b
?a  name  ?b   => ?a  commonName  ?b	0.4	0.026666667	1	2	75	2	?a
?a  managerclubs  ?b   => ?a  nationalteam  ?b	0.0625	0.111111111	1	1	9	1	?b
?b  name  ?a   => ?a  commonName  ?b	0.4	0.026666667	1	2	75	2	?a
?a  conventionalLongName  ?b   => ?a  commonName  ?b	0.2	1	1	1	1	1	?a
?b  name  ?a   => ?a  nationalteam  ?b	0.125	0.026666667	1	2	75	2	?b
?a  team  ?b   => ?a  nationalteam  ?b	0.75	0.071005917	1	12	169	12	?b
?a  capital  ?b   => ?a  commonName  ?b	0.2	0.2	0.2	1	5	5	?a
?a  managerClub  ?b   => ?a  nationalteam  ?b	0.0625	0.125	1	1	8	1	?b
?a  candidate  ?b   => ?a  mla  ?b	1	0.05	1	1	20	1	?a
?a  award  ?b   => ?a  prizes  ?b	1	0.333333333	1	1	3	1	?a
?b  subsequentWork  ?a   => ?a  precededBy  ?b	0.5	0.5	1	1	2	1	?a
?b  followedBy  ?a   => ?a  precededBy  ?b	0.5	0.5	1	1	2	1	?a
?a  previousWork  ?b   => ?a  precededBy  ?b	0.5	1	1	1	1	1	?a
?a  origin  ?b   => ?a  hometown  ?b	0.214285714	0.017857143	1	3	168	3	?a
?a  birthPlace  ?b   => ?a  hometown  ?b	0.071428571	0.012195122	1	1	82	1	?a
?b  precededBy  ?a   => ?a  subsequentWork  ?b	0.5	0.5	1	1	2	1	?a
?b  previousWork  ?a   => ?a  subsequentWork  ?b	0.5	1	1	1	1	1	?a
?a  followedBy  ?b   => ?a  subsequentWork  ?b	1	1	1	2	2	2	?a
?a  languages  ?b   => ?a  language  ?b	0.1	0.5	1	1	2	1	?b
?a  numEmployees  ?b   => ?a  numberOfEmployees  ?b	1	1	1	5	5	5	?a
?a  languages  ?b   => ?a  demonym  ?b	0.166666667	0.5	1	1	2	1	?b
?b  notableWork  ?a   => ?a  author  ?b	0.137254902	0.583333333	1	7	12	7	?a
?b  division  ?a   => ?a  author  ?b	0.019607843	0.090909091	1	1	11	1	?a
?a  writer  ?b   => ?a  author  ?b	0.098039216	0.277777778	1	5	18	5	?a
?a  owner  ?b   => ?a  author  ?b	0.019607843	0.047619048	1	1	21	1	?a
?a  rdf-schema#seeAlso  ?b   => ?a  author  ?b	0.019607843	0.022222222	1	1	45	1	?a
?b  knownFor  ?a   => ?a  author  ?b	0.019607843	0.023809524	0.5	1	42	2	?a
?a  mixed  ?b   => ?a  medaltemplatesExpand  ?b	1	1	1	1	1	1	?a
?a  influencedBy  ?b   => ?a  doctoralAdvisors  ?b	1	0.025641026	1	1	39	1	?a
?a  influences  ?b   => ?a  doctoralAdvisors  ?b	1	0.083333333	1	1	12	1	?a
?a  composer  ?b   => ?a  starring  ?b	0.005494505	0.333333333	1	1	3	1	?a
?a  company  ?b   => ?a  starring  ?b	0.005494505	0.2	0.333333333	1	5	3	?a
?a  executiveProducer  ?b   => ?a  starring  ?b	0.010989011	0.285714286	0.5	2	7	4	?a
?a  subsid  ?b   => ?a  subsidiary  ?b	0.588235294	1	1	10	10	10	?b
?a  product  ?b   => ?a  subsidiary  ?b	0.058823529	0.125	1	1	8	1	?b
?b  parentCompany  ?a   => ?a  subsidiary  ?b	0.352941176	0.272727273	1	6	22	6	?b
?a  rdf-schema#seeAlso  ?b   => ?a  subsidiary  ?b	0.058823529	0.022222222	1	1	45	1	?b
?b  parent  ?a   => ?a  subsidiary  ?b	0.352941176	0.333333333	1	6	18	6	?b
?a  producer  ?b   => ?a  starring  ?b	0.104395604	0.132867133	0.904761905	19	143	21	?a
?a  silver  ?b   => ?a  silverMedalist  ?b	1	1	1	1	1	1	?a
?a  bandMember  ?b   => ?a  currentMembers  ?b	1	1	1	1	1	1	?a
?b  nw  ?a   => ?a  e  ?b	0.5	1	1	1	1	1	?a
?a  subdivision  ?b   => ?a  e  ?b	0.5	0.5	1	1	2	1	?a
?a  s  ?b   => ?a  e  ?b	0.5	0.166666667	1	1	6	1	?a
?a  foundation  ?b   => ?a  foundingYear  ?b	0.25	0.142857143	0.166666667	1	7	6	?a
?a  junPrecipitationDays  ?b   => ?a  julPrecipitationDays  ?b	1	1	1	1	1	1	?a
?a  academicAdvisor  ?b   => ?a  influencedBy  ?b	0.025641026	0.5	1	1	2	1	?a
?a  doctoralAdvisors  ?b   => ?a  influencedBy  ?b	0.025641026	1	1	1	1	1	?a
?a  academicAdvisors  ?b   => ?a  influencedBy  ?b	0.025641026	0.5	1	1	2	1	?a
?b  notableStudents  ?a   => ?a  influencedBy  ?b	0.025641026	0.333333333	1	1	3	1	?a
?b  influenced  ?a   => ?a  influencedBy  ?b	0.205128205	0.16	1	8	50	8	?a
?b  baseStandards  ?a   => ?a  influencedBy  ?b	0.025641026	1	1	1	1	1	?a
?a  influences  ?b   => ?a  influencedBy  ?b	0.282051282	0.916666667	1	11	12	11	?a
?a  currentMembers  ?b   => ?a  bandMember  ?b	1	1	1	1	1	1	?a
?a  australianopendoublesresult  ?b   => ?a  usopendoublesresult  ?b	1	1	1	1	1	1	?a
?a  frenchopendoublesresult  ?b   => ?a  wimbledondoublesresult  ?b	1	1	1	1	1	1	?a
?b  incumbent  ?a   => ?a  office  ?b	0.041666667	1	1	1	1	1	?b
?b  leader  ?a   => ?a  office  ?b	0.041666667	0.043478261	1	1	23	1	?b
?b  nationalConvener  ?a   => ?a  office  ?b	0.041666667	1	1	1	1	1	?b
?a  title  ?b   => ?a  office  ?b	0.375	0.136363636	1	9	66	9	?b
?a  after  ?b   => ?a  governor  ?b	0.027777778	0.035714286	1	1	28	1	?a
?a  before  ?b   => ?a  governor  ?b	0.027777778	0.071428571	1	1	14	1	?a
?b  lieutenant  ?a   => ?a  governor  ?b	0.027777778	0.333333333	0.333333333	1	3	3	?a
?b  1namedata  ?a   => ?a  governor  ?b	0.083333333	0.078947368	0.103448276	3	38	29	?a
?a  predecessor  ?b   => ?a  governor  ?b	0.055555556	0.020408163	0.25	2	98	8	?a
?a  alongside  ?b   => ?a  governor  ?b	0.027777778	0.055555556	0.2	1	18	5	?a
?b  alongside  ?a   => ?a  governor  ?b	0.027777778	0.055555556	0.2	1	18	5	?a
?a  augPrecipitationDays  ?b   => ?a  sepPrecipitationDays  ?b	1	1	1	1	1	1	?a
?b  influencedBy  ?a   => ?a  baseStandards  ?b	1	0.025641026	1	1	39	1	?a
?a  award  ?b   => ?a  awards  ?b	0.25	0.333333333	1	1	3	1	?b
?a  title  ?b   => ?a  awards  ?b	0.25	0.015151515	1	1	66	1	?b
?b  office  ?a   => ?a  incumbent  ?b	1	0.041666667	1	1	24	1	?a
?b  successor  ?a   => ?a  preceded  ?b	1	0.011494253	1	1	87	1	?a
?b  office  ?a   => ?a  leader  ?b	0.043478261	0.041666667	1	1	24	1	?a
?a  secondLeader  ?b   => ?a  leader  ?b	0.260869565	1	1	6	6	6	?a
?a  firstLeader  ?b   => ?a  leader  ?b	0.173913043	1	1	4	4	4	?a
?a  afterElection  ?b   => ?a  leader  ?b	0.086956522	0.105263158	1	2	19	2	?a
?a  academicDiscipline  ?b   => ?a  field  ?b	1	1	1	1	1	1	?a
?b  nw  ?a   => ?a  subdivision  ?b	0.5	1	1	1	1	1	?a
?a  e  ?b   => ?a  subdivision  ?b	0.5	0.5	1	1	2	1	?a
?a  s  ?b   => ?a  subdivision  ?b	0.5	0.166666667	1	1	6	1	?a
?a  beforeElection  ?b   => ?a  leader  ?b	0.173913043	0.19047619	0.666666667	4	21	6	?a
?a  developer  ?b   => ?a  executiveProducer  ?b	0.142857143	0.333333333	1	1	3	1	?b
?a  starring  ?b   => ?a  executiveProducer  ?b	0.285714286	0.010989011	0.153846154	2	182	13	?b
?a  hypernym  ?b   => ?a  genre  ?b	0.142857143	0.005076142	1	1	197	1	?b
?a  creator  ?b   => ?a  executiveProducer  ?b	0.142857143	0.055555556	0.142857143	1	18	7	?b
?a  leftarm  ?b   => ?a  rightarm  ?b	1	1	1	3	3	3	?b
?a  shorts  ?b   => ?a  rightarm  ?b	0.666666667	0.666666667	1	2	3	2	?b
?a  worldPlaceF  ?b   => ?a  europeanPlaceQ  ?b	0.25	0.047619048	1	1	21	1	?a
?a  portrayer  ?b   => ?a  voice  ?b	0.25	0.090909091	1	1	11	1	?a
?b  wikisource  ?a   => ?a  wikisource  ?b	1	1	1	1	1	1	?a
?b  isPrimaryTopicOf  ?a   => ?a  wikisource  ?b	1	0.015151515	1	1	66	1	?a
?b  primaryTopic  ?a   => ?a  wikisource  ?b	1	0.014084507	1	1	71	1	?a
?a  primaryTopic  ?b   => ?a  wikisource  ?b	1	0.014084507	1	1	71	1	?a
?a  title  ?b   => ?a  wikisource  ?b	1	0.015151515	1	1	66	1	?a
?a  isPrimaryTopicOf  ?b   => ?a  wikisource  ?b	1	0.015151515	1	1	66	1	?a
?b  title  ?a   => ?a  wikisource  ?b	1	0.015151515	1	1	66	1	?a
?a  restingPlace  ?b   => ?a  restingplace  ?b	1	0.043478261	1	1	23	1	?a
?a  mla  ?b   => ?a  candidate  ?b	0.05	1	1	1	1	1	?a
?a  predecessor  ?b   => ?a  candidate  ?b	0.05	0.010204082	0.333333333	1	98	3	?a
?a  beforeElection  ?b   => ?a  candidate  ?b	0.35	0.333333333	0.875	7	21	8	?a
?a  afterElection  ?b   => ?a  candidate  ?b	0.55	0.578947368	0.916666667	11	19	12	?a
?a  yearMeanC  ?b   => ?a  octMeanC  ?b	1	0.5	1	1	2	1	?a
?b  successor  ?a   => ?a  candidate  ?b	0.05	0.011494253	0.166666667	1	87	6	?a
?a  currentclub  ?b   => ?a  clubs  ?b	0.157894737	1	1	3	3	3	?b
?a  managerclubs  ?b   => ?a  clubs  ?b	0.052631579	0.111111111	1	1	9	1	?b
?a  team  ?b   => ?a  clubs  ?b	0.894736842	0.100591716	0.944444444	17	169	18	?b
?b  nw  ?a   => ?a  s  ?b	0.166666667	1	1	1	1	1	?a
?b  n  ?a   => ?a  s  ?b	0.166666667	0.5	1	1	2	1	?a
?a  voy  ?b   => ?a  s  ?b	0.333333333	1	1	2	2	2	?a
?a  e  ?b   => ?a  s  ?b	0.166666667	0.5	1	1	2	1	?a
?a  d  ?b   => ?a  s  ?b	0.333333333	0.666666667	0.666666667	2	3	3	?a
?a  v  ?b   => ?a  s  ?b	0.333333333	0.666666667	1	2	3	2	?a
?a  mw  ?b   => ?a  s  ?b	0.166666667	1	1	1	1	1	?a
?a  b  ?b   => ?a  s  ?b	0.333333333	1	1	2	2	2	?a
?a  species  ?b   => ?a  s  ?b	0.333333333	1	1	2	2	2	?a
