Assuming rdf:type as type relation
Loading files... 
  Starting processed_triples1.txt
  Finished processed_triples1.txt, still running: 0
Loaded 8730 facts in 97 ms using -32 MB
Using Support as pruning metric with minimum threshold 1.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 64 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  lastAired  ?b   => ?a  completionDate  ?b	1	0.5	1	1	2	1	?a
?a  end  ?b   => ?a  completionDate  ?b	1	0.090909091	0.25	1	11	4	?a
?a  medaltemplatesExpand  ?b   => ?a  mixed  ?b	1	1	1	1	1	1	?a
?a  others  ?b   => ?a  by  ?b	1	1	1	1	1	1	?a
?a  about  ?b   => ?a  by  ?b	1	0.5	1	1	2	1	?a
?a  ko  ?b   => ?a  koWins  ?b	0.5	1	1	1	1	1	?b
?a  onlinebooks  ?b   => ?a  by  ?b	1	1	1	1	1	1	?a
?a  years  ?b   => ?a  careerStart  ?b	1	0.021276596	0.2	1	47	5	?a
?b  doctoralAdvisor  ?a   => ?a  doctoralStudents  ?b	1	0.142857143	1	1	7	1	?a
?a  activeYearsStartYear  ?b   => ?a  careerStart  ?b	1	0.1	1	1	10	1	?a
?a  years  ?b   => ?a  nationalyears  ?b	0.090909091	0.021276596	0.142857143	1	47	7	?b
?a  patternLa  ?b   => ?a  patternB  ?b	1	1	1	3	3	3	?b
?a  patternRa  ?b   => ?a  patternB  ?b	1	1	1	3	3	3	?b
?a  australianopenmixedresult  ?b   => ?a  frenchopenmixedresult  ?b	1	1	1	1	1	1	?a
?a  number  ?b   => ?a  careerNumber  ?b	1	0.4	1	2	5	2	?a
?b  wikiPageRedirects  ?a   => ?a  family  ?b	0.25	0.0015625	1	1	640	1	?b
?a  alias  ?b   => ?a  family  ?b	0.25	0.333333333	1	1	3	1	?b
?a  relative  ?b   => ?a  family  ?b	0.25	0.03125	1	1	32	1	?b
?a  number  ?b   => ?a  clubnumber  ?b	1	0.4	1	2	5	2	?a
?a  nationalcaps  ?b   => ?a  clubnumber  ?b	0.5	0.0625	0.111111111	1	16	9	?a
?a  team  ?b   => ?a  currentclub  ?b	1	0.017751479	0.130434783	3	169	23	?a
?a  clubs  ?b   => ?a  currentclub  ?b	1	0.157894737	0.333333333	3	19	9	?a
?a  owner  ?b   => ?a  owners  ?b	0.4	0.095238095	1	2	21	2	?b
?a  dateEvent  ?b   => ?a  lifeSpan  ?b	1	0.2	0.2	1	5	5	?a
?a  n  ?b   => ?a  q  ?b	1	0.5	1	1	2	1	?a
?a  s  ?b   => ?a  q  ?b	1	0.166666667	1	1	6	1	?a
?a  b  ?b   => ?a  q  ?b	1	0.5	1	1	2	1	?a
?a  voy  ?b   => ?a  q  ?b	1	0.5	1	1	2	1	?a
?a  v  ?b   => ?a  q  ?b	1	0.333333333	1	1	3	1	?a
?a  species  ?b   => ?a  q  ?b	1	0.5	1	1	2	1	?a
?a  wikt  ?b   => ?a  q  ?b	1	1	1	1	1	1	?a
?b  children  ?a   => ?a  parents  ?b	0.25	0.032258065	1	1	31	1	?a
?a  parent  ?b   => ?a  parents  ?b	0.5	0.111111111	1	2	18	2	?a
?a  relation  ?b   => ?a  relations  ?b	1	0.571428571	1	4	7	4	?b
?b  children  ?a   => ?a  relations  ?b	0.25	0.032258065	0.125	1	31	8	?b
?b  child  ?a   => ?a  parents  ?b	0.5	0.1	0.666666667	2	20	3	?a
?b  child  ?a   => ?a  relations  ?b	0.25	0.05	0.142857143	1	20	7	?b
?a  url  ?b   => ?a  homepage  ?b	0.222222222	0.4	1	2	5	2	?b
?a  website  ?b   => ?a  homepage  ?b	0.111111111	1	1	1	1	1	?b
?a  manufacturer  ?b   => ?a  distributor  ?b	0.3	0.019354839	1	3	155	3	?a
?a  relations  ?b   => ?a  relation  ?b	0.571428571	1	1	4	4	4	?b
?b  children  ?a   => ?a  relation  ?b	0.142857143	0.032258065	0.111111111	1	31	9	?b
?b  child  ?a   => ?a  relation  ?b	0.142857143	0.05	0.142857143	1	20	7	?b
?a  relatives  ?b   => ?a  relation  ?b	0.285714286	0.125	0.5	2	16	4	?b
?a  s  ?b   => ?a  v  ?b	0.666666667	0.333333333	1	2	6	2	?a
?a  b  ?b   => ?a  v  ?b	0.666666667	1	1	2	2	2	?a
?a  mw  ?b   => ?a  v  ?b	0.333333333	1	1	1	1	1	?a
?a  species  ?b   => ?a  v  ?b	0.666666667	1	1	2	2	2	?a
?a  n  ?b   => ?a  v  ?b	0.333333333	0.5	1	1	2	1	?a
?a  q  ?b   => ?a  v  ?b	0.333333333	1	1	1	1	1	?a
?a  voy  ?b   => ?a  v  ?b	0.666666667	1	1	2	2	2	?a
?a  wikt  ?b   => ?a  v  ?b	0.333333333	1	1	1	1	1	?a
?b  children  ?a   => ?a  parent  ?b	0.333333333	0.193548387	1	6	31	6	?a
?b  child  ?a   => ?a  parent  ?b	0.055555556	0.05	1	1	20	1	?a
?b  issue  ?a   => ?a  parent  ?b	0.055555556	0.142857143	1	1	7	1	?a
?a  parentCompany  ?b   => ?a  parent  ?b	0.444444444	0.363636364	1	8	22	8	?a
?b  product  ?a   => ?a  parent  ?b	0.055555556	0.125	1	1	8	1	?a
?a  parentOrganisation  ?b   => ?a  parent  ?b	0.055555556	1	1	1	1	1	?a
?a  parents  ?b   => ?a  parent  ?b	0.111111111	0.5	1	2	4	2	?a
?a  father  ?b   => ?a  parent  ?b	0.055555556	0.142857143	1	1	7	1	?a
?b  subsidiary  ?a   => ?a  parent  ?b	0.333333333	0.352941176	0.857142857	6	17	7	?a
?a  d  ?b   => ?a  v  ?b	0.333333333	0.333333333	0.5	1	3	2	?a
?b  subsid  ?a   => ?a  parent  ?b	0.055555556	0.1	0.5	1	10	2	?a
?a  chronology  ?b   => ?a  producer  ?b	0.013986014	0.111111111	1	2	18	2	?a
?a  writer  ?b   => ?a  producer  ?b	0.013986014	0.111111111	1	2	18	2	?a
?a  extra  ?b   => ?a  producer  ?b	0.006993007	0.014285714	1	1	70	1	?a
?a  director  ?b   => ?a  producer  ?b	0.055944056	0.380952381	0.888888889	8	21	9	?a
?a  starring  ?b   => ?a  producer  ?b	0.132867133	0.104395604	0.655172414	19	182	29	?a
?a  activeYearsStartYear  ?b   => ?a  yearsactive  ?b	1	0.1	1	1	10	1	?a
?a  writer  ?b   => ?a  director  ?b	0.238095238	0.277777778	1	5	18	5	?a
?b  wikiPageRedirects  ?a   => ?a  nativeName  ?b	1	0.0015625	0.1	1	640	10	?a
?a  producer  ?b   => ?a  director  ?b	0.380952381	0.055944056	0.8	8	143	10	?a
?a  onlinebooks  ?b   => ?a  others  ?b	1	1	1	1	1	1	?a
?a  about  ?b   => ?a  others  ?b	1	0.5	1	1	2	1	?a
?a  by  ?b   => ?a  others  ?b	1	1	1	1	1	1	?a
?a  by  ?b   => ?a  onlinebooks  ?b	1	1	1	1	1	1	?a
?a  others  ?b   => ?a  onlinebooks  ?b	1	1	1	1	1	1	?a
?a  about  ?b   => ?a  onlinebooks  ?b	1	0.5	1	1	2	1	?a
?a  relation  ?b   => ?a  relatives  ?b	0.125	0.285714286	1	2	7	2	?b
?a  knownFor  ?b   => ?a  relatives  ?b	0.125	0.047619048	0.4	2	42	5	?b
?b  relative  ?a   => ?a  relatives  ?b	0.4375	0.21875	0.875	7	32	8	?b
?a  relative  ?b   => ?a  relatives  ?b	0.75	0.375	0.75	12	32	16	?b
?b  relatives  ?a   => ?a  relatives  ?b	0.25	0.25	0.8	4	16	5	?b
?b  governor  ?a   => ?a  lieutenant  ?b	0.333333333	0.027777778	1	1	36	1	?a
?a  successor  ?b   => ?a  lieutenant  ?b	0.333333333	0.011494253	1	1	87	1	?a
?b  precededBy  ?a   => ?a  followedBy  ?b	0.5	0.5	1	1	2	1	?a
?b  previousWork  ?a   => ?a  followedBy  ?b	0.5	1	1	1	1	1	?a
?a  subsequentWork  ?b   => ?a  followedBy  ?b	1	1	1	2	2	2	?a
?a  hypernym  ?b   => ?a  occupation  ?b	0.2	0.030456853	0.666666667	6	197	9	?b
?a  executiveProducer  ?b   => ?a  developer  ?b	0.333333333	0.142857143	0.5	1	7	2	?a
?b  isPrimaryTopicOf  ?a   => ?a  wikiPageInterLanguageLink  ?b	1	0.015151515	1	1	66	1	?a
?a  isPrimaryTopicOf  ?b   => ?a  wikiPageInterLanguageLink  ?b	1	0.015151515	1	1	66	1	?a
?a  primaryTopic  ?b   => ?a  wikiPageInterLanguageLink  ?b	1	0.014084507	1	1	71	1	?a
?b  primaryTopic  ?a   => ?a  wikiPageInterLanguageLink  ?b	1	0.014084507	1	1	71	1	?a
?b  wikiPageInterLanguageLink  ?a   => ?a  wikiPageInterLanguageLink  ?b	1	1	1	1	1	1	?a
?b  predecessor  ?a   => ?a  succeeded  ?b	1	0.020408163	1	2	98	2	?a
?a  after  ?b   => ?a  succeeded  ?b	0.5	0.035714286	1	1	28	1	?a
?a  parent  ?b   => ?a  father  ?b	0.142857143	0.055555556	1	1	18	1	?a
?a  predecessor  ?b   => ?a  father  ?b	0.142857143	0.010204082	0.142857143	1	98	7	?a
?b  issue  ?a   => ?a  father  ?b	0.142857143	0.142857143	0.5	1	7	2	?a
?b  child  ?a   => ?a  father  ?b	0.142857143	0.05	0.333333333	1	20	3	?a
?a  releaseDate  ?b   => ?a  start  ?b	0.25	0.5	1	1	2	1	?b
?b  product  ?a   => ?a  parentCompany  ?b	0.045454545	0.125	1	1	8	1	?a
?a  parent  ?b   => ?a  parentCompany  ?b	0.363636364	0.444444444	1	8	18	8	?a
?b  parent  ?a   => ?a  issue  ?b	0.142857143	0.055555556	1	1	18	1	?b
?a  succession  ?b   => ?a  issue  ?b	0.142857143	1	1	1	1	1	?b
?a  title  ?b   => ?a  issue  ?b	0.142857143	0.015151515	1	1	66	1	?b
?a  koWins  ?b   => ?a  ko  ?b	1	0.5	0.5	1	2	2	?a
?a  child  ?b   => ?a  issue  ?b	0.142857143	0.05	0.5	1	20	2	?b
?b  father  ?a   => ?a  issue  ?b	0.142857143	0.142857143	0.5	1	7	2	?b
?b  subsid  ?a   => ?a  parentCompany  ?b	0.045454545	0.1	0.5	1	10	2	?a
?a  rdf-schema#seeAlso  ?b   => ?a  parentCompany  ?b	0.045454545	0.022222222	0.2	1	45	5	?a
?a  clubnumber  ?b   => ?a  nationalcaps  ?b	0.0625	0.5	1	1	2	1	?b
?b  subsidiary  ?a   => ?a  parentCompany  ?b	0.272727273	0.352941176	0.857142857	6	17	7	?a
?a  number  ?b   => ?a  nationalcaps  ?b	0.0625	0.2	1	1	5	1	?b
?a  nationalgoals  ?b   => ?a  nationalcaps  ?b	0.0625	0.2	0.333333333	1	5	3	?b
?a  institution  ?b   => ?a  workplaces  ?b	1	1	1	1	1	1	?a
?a  foundingDate  ?b   => ?a  foundation  ?b	0.285714286	0.666666667	1	2	3	2	?b
?a  locationCity  ?b   => ?a  foundation  ?b	0.285714286	0.4	1	2	5	2	?b
?a  foundingYear  ?b   => ?a  foundation  ?b	0.142857143	0.25	1	1	4	1	?b
?a  workplaces  ?b   => ?a  institution  ?b	1	1	1	1	1	1	?a
?a  completionDate  ?b   => ?a  end  ?b	0.090909091	1	1	1	1	1	?a
?a  lastAired  ?b   => ?a  end  ?b	0.090909091	0.5	1	1	2	1	?a
?a  lifeSpan  ?b   => ?a  dateEvent  ?b	0.2	1	1	1	1	1	?b
?a  team  ?b   => ?a  draftTeam  ?b	0.666666667	0.01183432	0.1	2	169	20	?a
?a  frenchopenmixedresult  ?b   => ?a  australianopenmixedresult  ?b	1	1	1	1	1	1	?a
?a  wikiPageInterLanguageLink  ?b   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  wikisource  ?b   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  wikisource  ?a   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  notableWork  ?a   => ?a  creator  ?b	0.055555556	0.083333333	1	1	12	1	?a
?a  publicwhip  ?b   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?b  primaryTopic  ?a   => ?a  isPrimaryTopicOf  ?b	0.909090909	0.845070423	1	60	71	60	?a
?a  wimbledondoublesresult  ?b   => ?a  frenchopendoublesresult  ?b	1	1	1	1	1	1	?a
?b  isPrimaryTopicOf  ?a   => ?a  isPrimaryTopicOf  ?b	1	1	1	66	66	66	?a
?b  publicwhip  ?a   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  presenter  ?b   => ?a  creator  ?b	0.055555556	0.142857143	1	1	7	1	?a
?b  wikiPageInterLanguageLink  ?a   => ?a  isPrimaryTopicOf  ?b	0.015151515	1	1	1	1	1	?a
?a  primaryTopic  ?b   => ?a  isPrimaryTopicOf  ?b	0.909090909	0.845070423	1	60	71	60	?a
?a  executiveProducer  ?b   => ?a  creator  ?b	0.055555556	0.142857143	0.5	1	7	2	?a
?a  wikiPageRedirects  ?b   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.0015625	0.333333333	1	640	3	?a
?a  name  ?b   => ?a  isPrimaryTopicOf  ?b	0.03030303	0.026666667	0.666666667	2	75	3	?a
?b  title  ?a   => ?a  isPrimaryTopicOf  ?b	0.015151515	0.015151515	0.25	1	66	4	?a
?a  id  ?b   => ?a  imdbId  ?b	0.25	0.2	0.333333333	1	5	3	?a
?a  keyPerson  ?b   => ?a  keyPeople  ?b	1	0.444444444	0.666666667	4	9	6	?a
?b  knownFor  ?a   => ?a  keyPeople  ?b	0.25	0.023809524	0.125	1	42	8	?a
?a  usopendoublesresult  ?b   => ?a  australianopendoublesresult  ?b	1	1	1	1	1	1	?a
?a  patternLa  ?b   => ?a  patternRa  ?b	1	1	1	3	3	3	?b
?a  patternB  ?b   => ?a  patternRa  ?b	1	1	1	3	3	3	?b
?b  family  ?a   => ?a  wikiPageRedirects  ?b	0.0015625	0.25	1	1	4	1	?a
?b  nativeName  ?a   => ?a  wikiPageRedirects  ?b	0.0015625	1	1	1	1	1	?a
?b  relative  ?a   => ?a  wikiPageRedirects  ?b	0.0015625	0.03125	0.125	1	32	8	?a
?a  isPrimaryTopicOf  ?b   => ?a  wikiPageRedirects  ?b	0.0015625	0.015151515	0.333333333	1	66	3	?a
?a  primaryTopic  ?b   => ?a  wikiPageRedirects  ?b	0.0015625	0.014084507	0.333333333	1	71	3	?a
?b  isPrimaryTopicOf  ?a   => ?a  wikiPageRedirects  ?b	0.0015625	0.015151515	0.333333333	1	66	3	?a
?b  wikiPageRedirects  ?a   => ?a  wikiPageRedirects  ?b	0.0015625	0.0015625	0.125	1	640	8	?a
?b  primaryTopic  ?a   => ?a  wikiPageRedirects  ?b	0.0015625	0.014084507	0.333333333	1	71	3	?a
?a  governor  ?b   => ?a  after  ?b	0.035714286	0.027777778	1	1	36	1	?a
?a  succeeded  ?b   => ?a  after  ?b	0.035714286	0.5	1	1	2	1	?a
?b  predecessor  ?a   => ?a  after  ?b	0.357142857	0.102040816	0.227272727	10	98	44	?a
?b  before  ?a   => ?a  after  ?b	0.178571429	0.357142857	0.714285714	5	14	7	?a
?a  successor  ?b   => ?a  after  ?b	0.392857143	0.126436782	0.47826087	11	87	23	?a
?a  yearsActive  ?b   => ?a  spouse  ?b	0.012345679	0.1	1	1	10	1	?b
?a  activeYearsStartYear  ?b   => ?a  spouse  ?b	0.012345679	0.1	1	1	10	1	?b
